Start station number,Start station,End station number,End station,Bike model,Date,Total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
1211,"Bunhill Row, Moorgate",2635,"Concert Hall Approach 1, South Bank",CLASSIC,2023-08-10 18:00:00,2.5649493574615367,13.627795,,0.868686936026936,0.8712800839992894,0.3211198686937283,0.35201763538234043,10,4,18,0,Evening,Thursday,Weekday
300242,"Allington Street, Victoria",1213,"Curlew Street, Shad Thames",PBSC_EBIKE,2023-08-06 13:00:00,4.143134726391533,18.998316,,0.5286195286195288,0.47103105054553157,0.785810056990003,0.36874271503338163,6,7,13,1,Afternoon,Sunday,Weekend
300005,"Ethelburga Estate, Battersea Park",1165,"Riverlight North, Nine Elms",CLASSIC,2023-08-31 21:00:00,2.302585092994046,6.489992,,0.32996632996633,0.4368772607904125,0.017485417000632664,0.8577533009710029,31,4,21,0,Night,Thursday,Weekday
1062,"Braham Street, Aldgate",3467,"Dock Street, Wapping",CLASSIC,2023-08-01 09:00:00,1.791759469228055,24.187069,,0.5555555555555556,0.42900719266545,0.684838267726216,0.3260141166562952,1,2,9,0,Morning,Tuesday,Weekday
990,"Cotton Garden Estate, Kennington",200193,"Snowsfields, London Bridge",CLASSIC,2023-08-10 08:00:00,2.302585092994046,6.4096174,,0.6430976430976432,0.7219809078123638,0.09793696712171118,0.529594298260225,10,4,8,0,Morning,Thursday,Weekday
200183,"Battersea Park Road, Nine Elms",2587,"Wormwood Street, Liverpool Street",PBSC_EBIKE,2023-08-24 10:00:00,3.1354942159291497,8.707237,,0.6397306397306397,0.7087226767532193,0.5340961221721999,0.5675254721209141,24,4,10,0,Morning,Thursday,Weekday
300005,"Ethelburga Estate, Battersea Park",200010,"Manresa Road, Chelsea",CLASSIC,2023-08-31 10:00:00,1.791759469228055,5.3999996,,0.31986531986531985,0.3877485384417814,0.2670480832458504,0.6069729583993481,31,4,10,0,Morning,Thursday,Weekday
200231,"Abingdon Green, Westminster",1093,"Kennington Cross, Kennington",CLASSIC,2023-08-01 18:00:00,2.0794415416798357,14.982228,,0.6498317171717172,0.6266165959695276,0.5098405911760494,0.40221872511251966,1,2,18,0,Evening,Tuesday,Weekday
1145,"Earnshaw Street , Covent Garden",200096,"Green Park Station, Mayfair",CLASSIC,2023-08-07 15:00:00,2.0794415416798357,17.462784,,0.6868686868686869,0.5682254923813415,0.6291514353468673,0.10024504937631662,7,1,15,0,Afternoon,Monday,Weekday
200171,"Peterborough Road, Sands End",200062,"William Morris Way, Sands End",CLASSIC,2023-08-30 13:00:00,3.4339872044851463,17.902534,,0.6060606060606062,0.5205626843566031,0.7330858059663002,0.12409829869018285,30,3,13,0,Afternoon,Wednesday,Weekday
300213,"Monier Road, Hackney Wick",300234,"Stratford Station, Stratford",CLASSIC,2023-08-19 13:00:00,2.0794415416798357,25.212852,,0.8922558922558923,0.7939915163433153,0.4587934343850455,0.22783730711300565,19,6,13,1,Afternoon,Saturday,Weekend
200202,"Storey's Gate, Westminster",1112,"Nutford Place, Marylebone",CLASSIC,2023-08-19 16:00:00,3.295836866004329,25.199997,,0.7912457912457913,0.6902917685448458,0.43045399434155207,0.3619186961969597,19,6,16,1,Afternoon,Saturday,Weekend
1091,"St. John's Wood Church, The Regent's Park",3451,"Golden Square, Soho",CLASSIC,2023-08-07 11:00:00,2.9444389791664403,18.25026,,0.5925925925925926,0.5333323527381799,0.7317763419933786,0.24438853806749006,7,1,11,0,Morning,Monday,Weekday
200119,"Dorothy Road, Clapham Junction",300013,"Austin Road, Battersea Park",CLASSIC,2023-08-08 18:00:00,2.1972245773362196,15.986593,,0.49831656565656557,0.5430776959483694,0.5070925162046499,0.8144775011626185,8,2,18,0,Evening,Tuesday,Weekday
300033,"Putney Rail Station, Putney",200237,"Parson's Green , Parson's Green",CLASSIC,2023-08-08 08:00:00,2.302585092994046,13.202726,,0.2895623569023569,0.3109396515341977,0.5512854405874711,0.7193657587358523,8,2,8,0,Morning,Tuesday,Weekday
1217,"Serpentine Car Park, Hyde Park",1217,"Serpentine Car Park, Hyde Park",CLASSIC,2023-08-27 19:00:00,3.4965075614664802,10.315115,,0.4747474747474749,0.4513574642714498,0.7955524583118586,0.29935123433018707,27,7,19,1,Evening,Sunday,Weekend
200166,"Southerton Road, Hammersmith",300231,"Lambeth Palace Road, Waterloo",PBSC_EBIKE,2023-08-29 07:00:00,3.367295829986474,6.9247384,,0.2087542087542088,0.28525565812832293,0.5422847261127973,0.7823246422310196,29,2,7,0,Morning,Tuesday,Weekday
200162,"Watney Market, Stepney",3467,"Dock Street, Wapping",CLASSIC,2023-08-03 13:00:00,1.791759469228055,14.182355,,0.67003367003367,0.5969227226903306,0.9585984950604366,0.17472726763949087,3,4,13,0,Afternoon,Thursday,Weekday
1229,"High Holborn , Covent Garden",3465,"Eccleston Place, Victoria",CLASSIC,2023-08-14 17:00:00,3.091042453358316,26.959166,,0.6531986531986531,0.593909485787216,0.4182419331528082,0.6471685181952603,14,1,17,0,Evening,Monday,Weekday
1157,"Black Lion Gate, Kensington Gardens",3506,"Stanhope Gate, Mayfair",CLASSIC,2023-08-12 10:00:00,3.091042453358316,29.01966,,0.7205387205387206,0.566330416817056,0.4664853939988116,0.31467513079738085,12,6,10,1,Morning,Saturday,Weekend
1110,"Palace Gate, Kensington Gardens",1110,"Palace Gate, Kensington Gardens",CLASSIC,2023-08-12 08:00:00,3.367295829986474,24.703974,,0.5757575757575759,0.49302621470281754,0.45863490353040726,0.5222356213936056,12,6,8,1,Morning,Saturday,Weekend
200034,"Wapping Lane, Wapping",300048,"Stainsby Road , Poplar",CLASSIC,2023-08-09 18:00:00,3.044522437723423,8.217153,,0.8653198653198655,0.8915432719669343,0.7936111755344301,0.2855952985342788,9,3,18,0,Evening,Wednesday,Weekday
1147,"Clifton Road, Maida Vale",1177,"Seville Street, Knightsbridge",PBSC_EBIKE,2023-08-30 08:00:00,2.4849066497880004,16.981165,,0.3232323905723906,0.28176025127373655,0.7595476503551256,0.5315390584365255,30,3,8,0,Morning,Wednesday,Weekday
300058,"The Vale, Chelsea",1203,"Eastbourne Mews, Paddington",CLASSIC,2023-08-14 23:00:00,3.044522437723423,9.504272,,0.3434343434343434,0.4406119140048222,0.5005939921105084,0.9277971806662836,14,1,23,0,Night,Monday,Weekday
1101,"Knightsbridge, Hyde Park",3457,"Rochester Row, Westminster",CLASSIC,2023-08-30 22:00:00,2.639057329615259,6.151683,,0.19191919191919193,0.25125552009069746,0.7570272889792339,0.6484452623120988,30,3,22,0,Night,Wednesday,Weekday
200211,"Union Grove, Wandsworth Road",200169,"Ashley Crescent, Battersea",CLASSIC,2023-08-09 12:00:00,2.1972245773362196,7.628263,,0.7138047138047139,0.8082359244051653,0.5804306091569141,0.27944992033785454,9,3,12,0,Afternoon,Wednesday,Weekday
1090,"Warren Street Station, Euston",1085,"Old Quebec Street, Marylebone",CLASSIC,2023-08-21 18:00:00,2.995732273553991,14.512064,,0.7272727272727273,0.7123657951815816,0.47093990271249087,0.3839961481453845,21,1,18,0,Evening,Monday,Weekday
200050,"Naval Row, Blackwall",1071,"Tower Gardens , Tower",CLASSIC,2023-08-20 10:00:00,3.332204510175204,16.676977,,0.7474747474747476,0.7165787148244489,0.5211721125213625,0.38143292367402604,20,7,10,1,Morning,Sunday,Weekend
1121,"Lexham Gardens, Kensington",1016,"Hereford Road, Bayswater",CLASSIC,2023-08-09 12:00:00,2.833213344056216,7.628263,,0.7138047138047139,0.8082359244051653,0.5804306091569141,0.27944992033785454,9,3,12,0,Afternoon,Wednesday,Weekday
1022,"Brunswick Square, Bloomsbury",3425,"Northington Street , Holborn",CLASSIC,2023-08-09 11:00:00,1.3862943611198906,6.725354,,0.666666734006734,0.74007928111815,0.7347259377352674,0.2627675522112406,9,3,11,0,Morning,Wednesday,Weekday
200175,"Wandsworth Rd, Isley Court, Wandsworth Road",2587,"Wormwood Street, Liverpool Street",CLASSIC,2023-08-21 18:00:00,3.367295829986474,14.512064,,0.7272727272727273,0.7123657951815816,0.47093990271249087,0.3839961481453845,21,1,18,0,Evening,Monday,Weekday
300206,"Saltoun Road, Brixton",1086,"Baker Street, Marylebone",CLASSIC,2023-08-03 08:00:00,3.295836866004329,18.919704,,0.4175084175084174,0.37123601379018517,0.970867817044314,0.5489504895435381,3,4,8,0,Morning,Thursday,Weekday
200155,"Gascoyne Road, Victoria Park",1048,"Queen Victoria Street, St. Paul's",CLASSIC,2023-08-28 19:00:00,3.6888794541139363,9.178235,,0.47138047138047146,0.4681465733290941,0.8512680540472767,0.35034412181312546,28,1,19,0,Evening,Monday,Weekday
2587,"Wormwood Street, Liverpool Street",3457,"Rochester Row, Westminster",CLASSIC,2023-08-22 08:00:00,3.1354942159291497,16.055353,,0.5925925925925926,0.6063694746763189,0.5788183986734997,0.6179819248879465,22,2,8,0,Morning,Tuesday,Weekday
